name,style,abv,ibu,brewer_name,tipo
The Jabberwocky,Imperial or Double India Pale Ale,8.5,114.0,Lone Pint Brewery,India Pale Ale
The Kracken,Imperial or Double India Pale Ale,10.5,130.0,Reaver Beach Brewing Company,India Pale Ale
The Liberator,Imperial or Double India Pale Ale,8.0,116.0,Short's Brewing Company,India Pale Ale
The Little Brother,Imperial or Double India Pale Ale,8.5,115.0,Brewmaster Jack,India Pale Ale
The Pit Boss Triple IPA,Imperial or Double India Pale Ale,11.5,125.0,Pair O’ Dice Brewing,India Pale Ale
The Walter,Imperial or Double India Pale Ale,9.0,130.0,Raleigh Brewing Company,India Pale Ale
Three On the Tree,Imperial or Double India Pale Ale,11.0,120.0,Tap It Brewing Co,India Pale Ale
Timberline,American-Style Barley Wine Ale,11.4,120.0,Jagged Mountain Brewery,Ale
Tri PA,Imperial or Double India Pale Ale,9.0,180.0,Full Pint Brewing Company,India Pale Ale
Triple IPA,Imperial or Double India Pale Ale,10.0,120.0,Lone Tree Brewing Company,India Pale Ale
Triple IPA,Imperial or Double India Pale Ale,12.4,138.0,Dangerous Man Brewing Company,India Pale Ale
Troll Toll,Imperial or Double India Pale Ale,9.6,116.0,Lakewood Brewing Company,India Pale Ale
Tunnel Vision,American-Style India Pale Ale,6.7,142.0,Half Moon Bay Brewing,India Pale Ale
Twisted Galaxy,Imperial or Double India Pale Ale,7.2,170.0,Toppling Goliath Brewing Company,India Pale Ale
Two Face,Imperial or Double India Pale Ale,10.5,176.0,Barley John's Brewpub,India Pale Ale
Ubërschwein,American-Style Barley Wine Ale,9.2,119.0,Avery Brewing Company,Ale
Ukranium Krusher,Wood- and Barrel-Aged Beer,10.2,130.0,Hopvine Brewing Company,Stout
Ultimate Warrior,Imperial or Double India Pale Ale,8.5,120.0,Chaos Mountain Brewing,India Pale Ale
Up The Creek Extreme IPA,Imperial or Double India Pale Ale,12.5,111.0,Thomas Creek Brewery,India Pale Ale
Uppercut Imperial IPA,Imperial or Double India Pale Ale,9.3,125.0,Green Beacon Brewing Co,India Pale Ale
Vulgar Display of Power,American-Style Imperial Stout,14.0,111.0,Brash Brewing Company,Stout
Weedy’s,Imperial or Double India Pale Ale,8.5,175.0,Blue Pants Brewery,India Pale Ale
West-Coast Glutton,Imperial or Double India Pale Ale,9.5,150.0,Spice Trade Brewing,India Pale Ale
Wham Bam Thank You Ma'am,Imperial or Double India Pale Ale,10.5,120.0,Susquehanna Brewing Company,India Pale Ale
What The Floc,Imperial or Double India Pale Ale,9.5,170.0,Liquid Hero Brewery,India Pale Ale
Workers Are Going Home,Imperial or Double India Pale Ale,8.0,122.0,Singlecut Beersmiths,India Pale Ale
Zacks IIPA,Imperial or Double India Pale Ale,9.0,121.0,Knee Deep Brewing Company,India Pale Ale
ZZ Hop,Imperial or Double India Pale Ale,9.4,140.0,Auburn Alehouse,India Pale Ale
